Arrive Or Depart,Schedule,Airline,Flight Number,Gate,Terminal
A,1/2/2018 8:30:00 AM,Great Lakes Airlines,3031,9,2
A,1/2/2018 8:32:00 AM,American Airlines,1650,A4,4
D,1/2/2018 8:35:00 AM,American Airlines,465,A30,4
D,1/2/2018 8:35:00 AM,American Airlines,690,A24,4
D,1/2/2018 8:35:00 AM,American Airlines,5832,B2,4
D,1/2/2018 8:35:00 AM,American Airlines,5895,B20,4
D,1/2/2018 8:35:00 AM,Frontier Airlines,1876,20,3
A,1/2/2018 8:38:00 AM,American Airlines,887,A2,4
A,1/2/2018 8:39:00 AM,American Airlines,938,A14,4
D,1/2/2018 8:40:00 AM,American Airlines,5930,B5,4
A,1/2/2018 8:40:00 AM,Southwest Airlines,1073,C11,4
D,1/2/2018 8:42:00 AM,American Airlines,855,A5,4
A,1/2/2018 11:57:00 PM,United Airlines,1611,3,2
A,1/2/2018 11:58:00 PM,American Airlines,2717,A25,4
D,1/2/2018 11:59:00 PM,JetBlue Airways,602,26,3
A,1/2/2018 11:59:00 PM,American Airlines,2072,A24,4
A,1/3/2018 12:10:00 AM,Southwest Airlines,3949,C11,4
A,1/3/2018 12:04:00 AM,American Airlines,839,A5,4
A,1/3/2018 12:04:00 AM,Alaska Airlines,640,10,2
A,1/3/2018 12:05:00 AM,American Airlines,861,A27,4
A,1/3/2018 12:05:00 AM,American Airlines,2679,A14,4
A,1/3/2018 12:05:00 AM,American Airlines,889,A11,4
A,1/3/2018 12:15:00 AM,United Airlines,716,6B,2
A,1/3/2018 12:15:00 AM,Frontier Airlines,753,26,3
A,1/3/2018 12:20:00 AM,Southwest Airlines,2359,D8,4
A,1/3/2018 12:25:00 AM,Southwest Airlines,6847,C18,4
A,1/3/2018 12:25:00 AM,Southwest Airlines,8629,C2,4
D,1/3/2018 12:25:00 AM,American Airlines,1398,A7,4
D,1/3/2018 12:30:00 AM,American Airlines,2736,A4,4
A,1/3/2018 12:35:00 AM,Southwest Airlines,5913,D3,4
D,1/3/2018 12:35:00 AM,American Airlines,2020,B25,4
A,1/3/2018 12:37:00 AM,Alaska Airlines,632,11,2
D,1/3/2018 12:40:00 AM,American Airlines,809,B26,4
A,1/3/2018 12:41:00 AM,United Airlines,377,8,2
A,1/3/2018 12:43:00 AM,American Airlines,654,A3,4
D,1/3/2018 12:45:00 AM,American Airlines,2026,A19,4
D,1/3/2018 12:45:00 AM,Delta Air Lines,2160,19,3
A,1/3/2018 12:50:00 AM,Southwest Airlines,5048,C19,4
D,1/3/2018 12:50:00 AM,American Airlines,2063,A2,4
D,1/3/2018 12:50:00 AM,American Airlines,5972,B18,4
D,1/3/2018 12:50:00 AM,United Airlines,1453,8,2
A,1/3/2018 12:55:00 AM,Southwest Airlines,1502,D5,4
A,1/3/2018 12:55:00 AM,Southwest Airlines,6098,C3,4
D,1/3/2018 12:55:00 AM,American Airlines,1512,A14,4
D,1/3/2018 12:55:00 AM,American Airlines,1899,B28,4
D,1/3/2018 12:55:00 AM,American Airlines,2691,A17,4
A,1/3/2018 12:57:00 AM,American Airlines,609,A19,4
D,1/3/2018 12:59:00 AM,American Airlines,408,A24,4
D,1/3/2018 12:59:00 AM,American Airlines,1656,B8,4
A,1/3/2018 1:04:00 AM,Spirit Airlines,971,2,2
A,1/3/2018 12:05:00 AM,Frontier Airlines,1881,,3
A,1/3/2018 12:05:00 AM,Southwest Airlines,891,,4
A,1/3/2018 12:40:00 AM,Southwest Airlines,523,,4
A,1/3/2018 1:15:00 AM,Southwest Airlines,1563,,4
A,1/3/2018 1:25:00 AM,Southwest Airlines,5828,D1,4
A,1/3/2018 1:40:00 AM,Southwest Airlines,5285,D6,4
A,1/3/2018 1:45:00 AM,Southwest Airlines,1925,C6,4
D,1/3/2018 1:45:00 AM,American Airlines,1556,A9,4
D,1/3/2018 1:57:00 AM,Spirit Airlines,972,2,2
D,1/3/2018 2:20:00 AM,American Airlines,655,A3,4
D,1/3/2018 5:00:00 AM,American Airlines,605,A20,4
D,1/3/2018 5:15:00 AM,United Airlines,859,8,2
D,1/3/2018 5:15:00 AM,Southwest Airlines,9,C4,4
D,1/3/2018 5:15:00 AM,Southwest Airlines,518,C6,4
D,1/3/2018 5:25:00 AM,United Airlines,265,6B,2
D,1/3/2018 5:25:00 AM,Southwest Airlines,1711,C13,4
D,1/3/2018 5:50:00 AM,Southwest Airlines,121,D2,4
D,1/3/2018 5:55:00 AM,Southwest Airlines,1080,C18,4
A,1/2/2018 1:16:00 PM,Southwest Airlines,8502,C4,4
D,1/3/2018 6:00:00 AM,American Airlines,632,A11,4
D,1/3/2018 6:00:00 AM,Delta Air Lines,1747,19,3
D,1/3/2018 6:00:00 AM,Southwest Airlines,403,D7,4
D,1/3/2018 6:00:00 AM,Southwest Airlines,1540,C8,4
D,1/3/2018 6:00:00 AM,Southwest Airlines,1898,C17,4
A,1/3/2018 6:04:00 AM,American Airlines,673,A20,4
D,1/3/2018 6:05:00 AM,United Airlines,582,5,2
D,1/3/2018 6:10:00 AM,American Airlines,691,A29,4
D,1/3/2018 6:11:00 AM,United Airlines,1774,8,2
D,1/3/2018 6:13:00 AM,United Airlines,1600,3,2
D,1/3/2018 6:15:00 AM,Southwest Airlines,210,C14,4
D,1/3/2018 6:20:00 AM,American Airlines,1061,A25,4
D,1/3/2018 6:20:00 AM,Frontier Airlines,740,20,3
D,1/3/2018 6:20:00 AM,Southwest Airlines,1390,C2,4
D,1/3/2018 6:20:00 AM,Southwest Airlines,1922,D6,4
D,1/3/2018 6:30:00 AM,Delta Air Lines,1781,15,3
D,1/3/2018 6:30:00 AM,Southwest Airlines,1573,D3,4
D,1/3/2018 6:35:00 AM,United Airlines,781,6B,2
D,1/3/2018 6:35:00 AM,Southwest Airlines,1974,C3,4
D,1/3/2018 6:40:00 AM,American Airlines,2996,B15A,4
A,1/2/2018 11:35:00 AM,Southwest Airlines,8505,C19,4
A,1/2/2018 2:40:00 PM,Southwest Airlines,8504,C13,4
D,1/3/2018 6:45:00 AM,Alaska Airlines,631,11,2
D,1/3/2018 6:45:00 AM,Delta Air Lines,5710,18,3
D,1/3/2018 6:50:00 AM,Frontier Airlines,1442,26,3
A,1/3/2018 6:58:00 AM,American Airlines,693,B25,4
D,1/3/2018 7:00:00 AM,Delta Air Lines,998,19,3
D,1/3/2018 7:00:00 AM,Delta Air Lines,1994,17,3
D,1/3/2018 7:00:00 AM,Southwest Airlines,433,C19,4
A,1/3/2018 7:00:00 AM,Southwest Airlines,113,C6,4
D,1/3/2018 7:10:00 AM,Southwest Airlines,223,C7,4
A,1/3/2018 7:10:00 AM,Southwest Airlines,1406,C1,4
D,1/3/2018 7:15:00 AM,Delta Air Lines,936,16,3
D,1/3/2018 7:15:00 AM,Delta Air Lines,2162,23,3
A,1/3/2018 7:15:00 AM,Southwest Airlines,1661,D3,4
D,1/3/2018 7:20:00 AM,Southwest Airlines,1387,D1,4
A,1/3/2018 7:20:00 AM,Southwest Airlines,416,D6,4
D,1/3/2018 7:25:00 AM,Southwest Airlines,1546,D8,4
A,1/3/2018 7:25:00 AM,Southwest Airlines,863,D7,4
D,1/3/2018 7:30:00 AM,United Airlines,2083,7,2
D,1/3/2018 7:30:00 AM,American Airlines,570,A5,4
D,1/3/2018 7:30:00 AM,Frontier Airlines,1880,25,3
D,1/3/2018 7:30:00 AM,Hawaiian Airlines,35,24,3
A,1/3/2018 7:30:00 AM,Southwest Airlines,987,C13,4
A,1/3/2018 7:39:00 AM,American Airlines,670,A4,4
A,1/3/2018 7:39:00 AM,American Airlines,553,B27,4
A,1/3/2018 7:39:00 AM,American Airlines,3056,B1A,4
D,1/3/2018 7:40:00 AM,Southwest Airlines,313,C11,4
A,1/3/2018 7:42:00 AM,American Airlines,5837,A1,4
D,1/3/2018 7:45:00 AM,American Airlines,549,A3,4
